speed <br /> <img src='speed.jpg'>, la vitesse
mourning <br /> <img src='mourning.jpg'>, deuil
to state <br /> <img src='to_state.jpg'>, établir
Islamist <br /> <img src='Islamist.jpg'>, Islamiste
first name <br /> <img src='first_name.jpg'>, Prénom
usually <br /> <img src='usually.jpg'>, d'habitude
bilateral <br /> <img src='bilateral.jpg'>, bilatéral
restoring <br /> <img src='restoring.jpg'>, La restauration
cynical <br /> <img src='cynical.jpg'>, cynique
environmental <br /> <img src='environmental.jpg'>, Environnementale
builder <br /> <img src='builder.jpg'>, constructeur
successful <br /> <img src='successful.jpg'>, réussi
